problem,nb_of_threads,time
src/philosophers, 2, 0.32
src/philosophers, 2, 0.41
src/philosophers, 2, 0.26
src/philosophers, 2, 0.32
src/philosophers, 2, 0.27
src/philosophers, 4, 0.36
src/philosophers, 4, 0.38
src/philosophers, 4, 0.40
src/philosophers, 4, 0.40
src/philosophers, 4, 0.33
src/philosophers, 8, 0.39
src/philosophers, 8, 0.41
src/philosophers, 8, 0.51
src/philosophers, 8, 0.42
src/philosophers, 8, 0.42
src/philosophers, 16, 0.49
src/philosophers, 16, 0.41
src/philosophers, 16, 0.42
src/philosophers, 16, 0.43
src/philosophers, 16, 0.62
src/philosophers, 32, 0.78
src/philosophers, 32, 0.66
src/philosophers, 32, 0.65
src/philosophers, 32, 0.62
src/philosophers, 32, 0.59
src/philosophers_with_sem_TS, 2, 0.76
src/philosophers_with_sem_TS, 2, 0.76
src/philosophers_with_sem_TS, 2, 0.92
src/philosophers_with_sem_TS, 2, 1.03
src/philosophers_with_sem_TS, 2, 1.27
Command terminated by signal 2
src/philosophers_with_sem_TS, 4, 1.74
Command terminated by signal 2
src/philosophers_with_sem_TS, 4, 0.49
Command terminated by signal 2
src/philosophers_with_sem_TS, 4, 0.03
Command terminated by signal 2
src/philosophers_with_sem_TS, 4, 0.02
Command terminated by signal 2
src/philosophers_with_sem_TS, 4, 0.02
Command terminated by signal 2
src/philosophers_with_sem_TS, 8, 0.04
Command terminated by signal 2
src/philosophers_with_sem_TS, 8, 0.01
Command terminated by signal 2
src/philosophers_with_sem_TS, 8, 0.07
