problem,nb_of_threads,time
philo,2,4.34
philo,2,4.57
philo,2,4.53
philo,2,4.55
philo,2,4.56
philo,4,1.39
philo,4,1.64
philo,4,1.65
philo,4,1.65
philo,4,1.47
philo,8,3.20
philo,8,4.49
philo,8,3.13
philo,8,4.72
philo,8,2.97
philo,16,5.01
philo,16,5.52
philo,16,4.97
philo,16,4.77
philo,16,5.15
philo,32,7.86
philo,32,7.36
philo,32,6.86
philo,32,6.54
philo,32,7.11
prodcons,2,3.00
prodcons,2,2.99
prodcons,2,2.99
prodcons,2,2.97
prodcons,2,3.02
prodcons,4,1.55
prodcons,4,1.54
prodcons,4,1.59
prodcons,4,1.54
prodcons,4,1.54
prodcons,8,1.16
prodcons,8,1.08
prodcons,8,1.13
prodcons,8,1.09
prodcons,8,1.14
prodcons,16,1.18
prodcons,16,1.16
prodcons,16,1.12
prodcons,16,1.12
prodcons,16,1.13
prodcons,32,1.15
prodcons,32,1.15
prodcons,32,1.14
prodcons,32,1.18
prodcons,32,1.15
