problem,nb_of_threads,time
philo_graphs,2,1.82
philo_graphs,2,1.95
philo_graphs,2,1.74
philo_graphs,2,1.89
philo_graphs,2,1.91
philo_graphs,4,1.43
philo_graphs,4,1.51
philo_graphs,4,1.38
philo_graphs,4,1.47
philo_graphs,4,1.49
philo_graphs,8,1.12
philo_graphs,8,1.23
philo_graphs,8,1.14
philo_graphs,8,1.17
philo_graphs,8,1.21
philo_graphs,16,0.78
philo_graphs,16,0.85
philo_graphs,16,0.79
philo_graphs,16,0.81
philo_graphs,16,0.83
philo_graphs,32,0.41
philo_graphs,32,0.52
philo_graphs,32,0.46
philo_graphs,32,0.48
philo_graphs,32,0.45
prodcons_graphs,2,1.90
prodcons_graphs,2,1.84
prodcons_graphs,2,1.87
prodcons_graphs,2,1.88
prodcons_graphs,2,1.85
prodcons_graphs,4,1.55
prodcons_graphs,4,1.63
prodcons_graphs,4,1.48
prodcons_graphs,4,1.52
prodcons_graphs,4,1.57
prodcons_graphs,8,1.22
prodcons_graphs,8,1.18
prodcons_graphs,8,1.25
prodcons_graphs,8,1.21
prodcons_graphs,8,1.19
prodcons_graphs,16,0.86
prodcons_graphs,16,0.78
prodcons_graphs,16,0.82
prodcons_graphs,16,0.80
prodcons_graphs,16,0.84
prodcons_graphs,32,0.49
prodcons_graphs,32,0.47
prodcons_graphs,32,0.51
prodcons_graphs,32,0.45
prodcons_graphs,32,0.46
readwrite_graphs,2,1.97
readwrite_graphs,2,1.91
readwrite_graphs,2,1.93
readwrite_graphs,2,1.89
readwrite_graphs,2,1.95
readwrite_graphs,4,1.61
readwrite_graphs,4,1.54
readwrite_graphs,4,1.59
readwrite_graphs,4,1.57
readwrite_graphs,4,1.63
readwrite_graphs,8,1.34
readwrite_graphs,8,1.28
readwrite_graphs,8,1.26
readwrite_graphs,8,1.32
readwrite_graphs,8,1.30
readwrite_graphs,16,0.94
readwrite_graphs,16,0.88
readwrite_graphs,16,0.92
readwrite_graphs,16,0.91
readwrite_graphs,16,0.89
readwrite_graphs,32,0.62
readwrite_graphs,32,0.59
readwrite_graphs,32,0.63
readwrite_graphs,32,0.58
readwrite_graphs,32,0.60
