problem,nb_of_threads,time
philosophers, 2, 0.32
producerconsummer, 2, 1.76
readerwriter, 2, 0.04
philosophers, 2, 0.38
producerconsummer, 2, 1.77
readerwriter, 2, 0.04
philosophers, 2, 0.39
producerconsummer, 2, 1.76
readerwriter, 2, 0.04
philosophers, 2, 0.35
producerconsummer, 2, 1.76
readerwriter, 2, 0.04
philosophers, 2, 0.32
producerconsummer, 2, 1.76
readerwriter, 2, 0.04
philosophers, 4, 0.37
producerconsummer, 4, 0.90
readerwriter, 4, 0.02
philosophers, 4, 0.37
producerconsummer, 4, 0.90
readerwriter, 4, 0.02
philosophers, 4, 0.40
producerconsummer, 4, 0.90
readerwriter, 4, 0.02
philosophers, 4, 0.40
producerconsummer, 4, 0.90
readerwriter, 4, 0.02
philosophers, 4, 0.42
producerconsummer, 4, 0.90
readerwriter, 4, 0.02
philosophers, 8, 0.54
producerconsummer, 8, 0.46
readerwriter, 8, 0.01
philosophers, 8, 0.59
producerconsummer, 8, 0.46
readerwriter, 8, 0.01
philosophers, 8, 0.55
producerconsummer, 8, 0.46
readerwriter, 8, 0.01
philosophers, 8, 0.59
producerconsummer, 8, 0.46
readerwriter, 8, 0.01
philosophers, 8, 0.62
producerconsummer, 8, 0.46
readerwriter, 8, 0.01
philosophers, 16, 1.02
producerconsummer, 16, 0.48
readerwriter, 16, 0.01
philosophers, 16, 1.03
producerconsummer, 16, 0.48
readerwriter, 16, 0.01
philosophers, 16, 1.06
producerconsummer, 16, 0.48
readerwriter, 16, 0.01
philosophers, 16, 0.98
producerconsummer, 16, 0.48
readerwriter, 16, 0.01
philosophers, 16, 1.04
producerconsummer, 16, 0.48
readerwriter, 16, 0.01
philosophers, 32, 1.91
producerconsummer, 32, 0.52
readerwriter, 32, 0.01
philosophers, 32, 2.18
producerconsummer, 32, 0.51
readerwriter, 32, 0.01
philosophers, 32, 2.15
producerconsummer, 32, 0.52
readerwriter, 32, 0.01
philosophers, 32, 2.19
producerconsummer, 32, 0.51
readerwriter, 32, 0.01
philosophers, 32, 2.13
producerconsummer, 32, 0.52
readerwriter, 32, 0.01
