problem,nb_of_threads,time
src/philosophers, 2, 0.27
src/philosophers_with_sem_TS, 2, 1.23
src/philosophers_with_sem_TTS, 2, 1.44
src/producerconsummer, 2, 2.80
src/producerconsummer_with_sem_TS, 2, 2.67
src/producerconsummer_with_sem_TTS, 2, 3.14
src/readerwriter, 2, 0.07
src/readerwriter_with_sem_TS, 2, 0.07
src/readerwriter_with_sem_TTS, 2, 0.08
src/test-and-set, 2, 0.73
src/test-and-test-and-set, 2, 0.69
src/philosophers, 2, 0.26
src/philosophers_with_sem_TS, 2, 0.95
src/philosophers_with_sem_TTS, 2, 1.30
src/producerconsummer, 2, 3.18
src/producerconsummer_with_sem_TS, 2, 2.91
src/producerconsummer_with_sem_TTS, 2, 2.75
src/readerwriter, 2, 0.06
src/readerwriter_with_sem_TS, 2, 0.09
src/readerwriter_with_sem_TTS, 2, 0.08
src/test-and-set, 2, 0.65
src/test-and-test-and-set, 2, 0.66
src/philosophers, 2, 0.23
src/philosophers_with_sem_TS, 2, 0.88
src/philosophers_with_sem_TTS, 2, 2.80
src/producerconsummer, 2, 2.82
src/producerconsummer_with_sem_TS, 2, 2.74
src/producerconsummer_with_sem_TTS, 2, 3.07
src/readerwriter, 2, 0.06
src/readerwriter_with_sem_TS, 2, 0.08
src/readerwriter_with_sem_TTS, 2, 0.10
src/test-and-set, 2, 0.65
src/test-and-test-and-set, 2, 0.69
src/philosophers, 2, 0.20
src/philosophers_with_sem_TS, 2, 1.30
src/philosophers_with_sem_TTS, 2, 1.06
src/producerconsummer, 2, 2.85
src/producerconsummer_with_sem_TS, 2, 2.65
src/producerconsummer_with_sem_TTS, 2, 2.75
src/readerwriter, 2, 0.07
src/readerwriter_with_sem_TS, 2, 0.07
src/readerwriter_with_sem_TTS, 2, 0.12
src/test-and-set, 2, 0.71
src/test-and-test-and-set, 2, 0.64
src/philosophers, 2, 0.21
src/philosophers_with_sem_TS, 2, 0.98
src/philosophers_with_sem_TTS, 2, 2.35
src/producerconsummer, 2, 2.83
src/producerconsummer_with_sem_TS, 2, 2.94
src/producerconsummer_with_sem_TTS, 2, 3.07
src/readerwriter, 2, 0.07
src/readerwriter_with_sem_TS, 2, 0.07
src/readerwriter_with_sem_TTS, 2, 0.08
src/test-and-set, 2, 0.69
src/test-and-test-and-set, 2, 0.68
src/philosophers, 4, 0.39
src/philosophers_with_sem_TS, 4, 3.21
src/philosophers_with_sem_TTS, 4, 3.15
src/producerconsummer, 4, 1.85
src/producerconsummer_with_sem_TS, 4, 2.03
src/producerconsummer_with_sem_TTS, 4, 1.97
src/readerwriter, 4, 0.04
src/readerwriter_with_sem_TS, 4, 0.04
src/readerwriter_with_sem_TTS, 4, 0.06
src/test-and-set, 4, 0.77
src/test-and-test-and-set, 4, 0.75
src/philosophers, 4, 0.32
src/philosophers_with_sem_TS, 4, 2.87
src/philosophers_with_sem_TTS, 4, 3.81
src/producerconsummer, 4, 1.83
src/producerconsummer_with_sem_TS, 4, 1.75
src/producerconsummer_with_sem_TTS, 4, 1.80
src/readerwriter, 4, 0.04
src/readerwriter_with_sem_TS, 4, 0.07
src/readerwriter_with_sem_TTS, 4, 0.25
src/test-and-set, 4, 0.74
src/test-and-test-and-set, 4, 0.75
src/philosophers, 4, 0.40
src/philosophers_with_sem_TS, 4, 2.73
src/philosophers_with_sem_TTS, 4, 2.33
src/producerconsummer, 4, 1.86
src/producerconsummer_with_sem_TS, 4, 1.74
src/producerconsummer_with_sem_TTS, 4, 1.89
src/readerwriter, 4, 0.04
src/readerwriter_with_sem_TS, 4, 0.05
src/readerwriter_with_sem_TTS, 4, 0.06
src/test-and-set, 4, 0.77
src/test-and-test-and-set, 4, 0.75
src/philosophers, 4, 0.39
src/philosophers_with_sem_TS, 4, 2.43
src/philosophers_with_sem_TTS, 4, 2.89
src/producerconsummer, 4, 1.49
src/producerconsummer_with_sem_TS, 4, 1.50
src/producerconsummer_with_sem_TTS, 4, 1.63
src/readerwriter, 4, 0.04
src/readerwriter_with_sem_TS, 4, 0.04
src/readerwriter_with_sem_TTS, 4, 0.06
src/test-and-set, 4, 0.71
src/test-and-test-and-set, 4, 0.68
src/philosophers, 4, 0.35
src/philosophers_with_sem_TS, 4, 3.01
src/philosophers_with_sem_TTS, 4, 3.00
src/producerconsummer, 4, 1.52
src/producerconsummer_with_sem_TS, 4, 1.60
src/producerconsummer_with_sem_TTS, 4, 1.52
src/readerwriter, 4, 0.04
src/readerwriter_with_sem_TS, 4, 0.04
src/readerwriter_with_sem_TTS, 4, 0.05
src/test-and-set, 4, 0.70
src/test-and-test-and-set, 4, 0.68
src/philosophers, 8, 0.40
