problem,nb_of_threads,time
src/philosophers, 2, 0.25
src/philosophers_with_sem_TS, 2, 0.86
src/philosophers_with_sem_TTS, 2, 0.88
src/producerconsummer, 2, 3.17
src/producerconsummer_with_sem_TS, 2, 2.78
src/producerconsummer_with_sem_TTS, 2, 2.99
src/readerwriter, 2, 0.07
src/readerwriter_with_sem_TS, 2, 0.07
src/readerwriter_with_sem_TTS, 2, 0.09
src/test-and-set, 2, 0.67
src/test-and-test-and-set, 2, 0.67
src/philosophers, 2, 0.34
src/philosophers_with_sem_TS, 2, 2.23
src/philosophers_with_sem_TTS, 2, 3.55
src/producerconsummer, 2, 2.93
src/producerconsummer_with_sem_TS, 2, 2.84
src/producerconsummer_with_sem_TTS, 2, 2.85
src/readerwriter, 2, 0.06
src/readerwriter_with_sem_TS, 2, 0.07
src/readerwriter_with_sem_TTS, 2, 0.10
src/test-and-set, 2, 0.66
src/test-and-test-and-set, 2, 0.67
src/philosophers, 2, 0.30
src/philosophers_with_sem_TS, 2, 0.66
src/philosophers_with_sem_TTS, 2, 2.22
src/producerconsummer, 2, 2.80
src/producerconsummer_with_sem_TS, 2, 2.83
src/producerconsummer_with_sem_TTS, 2, 2.78
src/readerwriter, 2, 0.07
src/readerwriter_with_sem_TS, 2, 0.07
src/readerwriter_with_sem_TTS, 2, 0.10
src/test-and-set, 2, 0.66
src/test-and-test-and-set, 2, 0.65
src/philosophers, 2, 0.25
src/philosophers_with_sem_TS, 2, 1.30
src/philosophers_with_sem_TTS, 2, 2.86
src/producerconsummer, 2, 2.91
src/producerconsummer_with_sem_TS, 2, 2.79
src/producerconsummer_with_sem_TTS, 2, 2.94
src/readerwriter, 2, 0.06
src/readerwriter_with_sem_TS, 2, 0.08
src/readerwriter_with_sem_TTS, 2, 0.09
src/test-and-set, 2, 0.66
src/test-and-test-and-set, 2, 0.65
src/philosophers, 2, 0.25
src/philosophers_with_sem_TS, 2, 0.97
src/philosophers_with_sem_TTS, 2, 2.45
src/producerconsummer, 2, 2.76
src/producerconsummer_with_sem_TS, 2, 2.69
src/producerconsummer_with_sem_TTS, 2, 2.98
src/readerwriter, 2, 0.07
src/readerwriter_with_sem_TS, 2, 0.07
src/readerwriter_with_sem_TTS, 2, 0.10
src/test-and-set, 2, 0.68
src/test-and-test-and-set, 2, 0.68
src/philosophers, 4, 0.35
src/philosophers_with_sem_TS, 4, 3.99
src/philosophers_with_sem_TTS, 4, 5.02
src/producerconsummer, 4, 1.54
src/producerconsummer_with_sem_TS, 4, 1.57
